Lake name,Latitude (°),Longitude (°),Area(km2),Elevation (m),Average Depth (m),Number of Pixels ,Percentage of lake represented
Acasta Lake,-115.564,65.3783,18.23,399,4.7,17645,87.11
Achilles Lake,-110.906,64.963,27.84,403,16.7,27536,89.01
Acres Lake,-108.688,62.7499,3.36,333,9.6,2438,65.18
Agassiz Lake,-112.788,63.1797,19.89,338,17.9,18113,81.95
Ajax Lake,-110.58,64.9737,24.32,446,8.2,23524,87.05
Alexander Lake,-108.117,62.2884,6.24,385,6.8,5427,78.21
Alexie Lake,-114.083,62.6779,4.24,218,6,3357,71.23
Allan Lake,-113.063,62.9208,4.35,273,8,3893,80.46
Ambush Lake,-113.824,65.7125,16.02,413,13.6,15379,86.39
Angelique Lake,-113.421,64.6265,17.84,403,10.2,16742,84.47
Angle Lake,-114.177,62.8313,4.11,195,21.1,3404,74.45
Anton Lake,-114.461,62.9713,3.34,253,8.8,2404,64.67
Ardent Lake,-115.736,65.6577,14.28,412,6.2,14331,90.34
Armi Lake,-114.124,63.7112,26.59,354,9.6,25165,85.18
Arno Lake,-113.533,63.0506,0.11,0,0,43,36.36
Artillery Lake,-107.871,63.1744,521.89,352,24.3,552430,95.27
Athenia Lake,-111.516,63.6452,42.29,416,7.2,38069,81.01
Augustus Lake,-116.686,66.3619,9.78,340,22.3,9027,83.03
Aurora Lake,-112.921,64.3918,15.25,377,5.3,14892,87.8
Awry Lake,-114.922,62.9506,26.89,201,19.7,25545,85.5
Axecut Lake,-104.138,63.8762,1.95,165,5.6,1789,82.56
Aylmer Lake,-108.53,64.1244,680.73,355,19.7,715690,94.62
Back Lake,-109.329,63.8188,86.59,384,12.9,87319,90.76
Back River,-108.275,64.609,62.66,333,15.6,61472,88.29
Baldhead Lake,-113.634,64.6092,20.02,409,11.2,19439,87.41
Banting Lake,-114.285,62.6292,3.86,171,10.9,2959,68.91
Barnston Lake,-110.033,63.1483,12.64,384,15,11950,85.13
Bartlett Lake,-118.336,63.0863,183.8,260,4.4,191259,93.65
Basile Lake,-111.261,62.2174,15.19,171,20.2,15196,90.06
Basler Lake,-115.945,63.9303,99.21,230,40.3,99610,90.36
Baton Lake,-115.096,64.3761,1.83,327,11.8,1089,53.55
Bear Lake,-114.184,62.3801,1.7,173,3.9,1158,61.18
Beauparlant Lake,-112.177,64.5722,13.62,445,6.6,12519,82.75
Beauregard Lake,-114.336,62.7216,1.46,207,7.6,1220,75.34
Beaverhill Lake,-104.373,62.8032,121.51,278,12.9,129356,95.81
Beaverlodge Lake,-118.194,64.6873,65.31,175,6.7,64188,88.46
Beck Lake,-104.613,62.8365,4.82,282,1.8,4839,90.46
Bedford Lake,-109.496,62.9993,25.91,306,15.8,23905,82.86
Bell Lake,-114.334,62.8427,3.82,226,7.1,3104,73.04
Benoit Lake,-116.251,66.3525,25.65,379,6.6,24857,87.21
Bessonette Lake,-114.741,63.6612,8.57,296,10.2,7970,83.66
Betty Ray Lake,-116.574,63.5419,6.07,196,6.1,4935,73.15
Bewick Lake,-105.718,62.4994,85.96,341,8.4,83936,87.88
Big Lake,-112.986,64.857,65.63,407,7.8,66426,91.09
Big Rocky Lake,-102.294,62.2768,78.01,254,8.1,75539,87.16
Bighill Lake,-114.036,62.5076,4.58,189,6.2,4342,85.37
Biologist Lake,-104.087,64.2761,3.48,300,2.5,3336,86.21
Birch Lake,-116.565,62.067,85.93,187,5.7,89784,94.04
Bishop Lake,-116.157,65.5005,46.4,347,14.8,47643,92.41
Black Lichen Lake,-116.263,64.4217,58.82,287,23.7,58221,89.07
Blaisdell Lake,-113.579,62.7784,5.95,249,6.6,5191,78.49
Blake Lake,-106.448,62.1172,12.76,389,5.3,11905,83.93
Bodie Lake,-105.853,62.9572,14.88,341,5.6,14557,88.04
Boland Lake,-115.69,64.5396,28.93,255,33.6,26869,83.44
Boulder Lake,-113.074,63.7656,16.91,361,13.2,16609,88.35
Box Lake,-109.423,63.9199,39.37,384,12.9,38395,87.78
Bras dOr Lake,-115.743,62.3927,33.03,0,0,34349,93.58
Breadner Lake,-116.749,65.8623,27.34,295,19.7,27433,90.31
Breithaupt Lake,-105.407,62.6386,19.67,335,2.9,18063,82.66
Bridge Lake,-112.276,63.268,3.58,395,6.9,3013,75.7
Brock Lake,-112.833,62.4155,0.17,255,3.1,81,41.18
Broken Dish Lake,-116.267,65.8579,3.91,368,11.9,3721,85.68
Brown Water Lake,-115.863,64.5998,51.97,275,35,45575,78.7
Buckham Lake,-112.647,62.2974,30.98,189,19.6,28839,83.8
Bunting Lake,-109.783,62.4827,0.23,235,2.9,167,65.22
Burbanks Lake,-108.6,62.7652,0.08,0,0,37,37.5
Burke Lake,-116.712,63.5178,2.37,170,7.9,2074,78.9
Bustard Lake,-108.415,64.3342,7.41,372,10.8,7067,85.83
Calder Lake,-115.234,65.8658,15.31,454,6.8,14620,85.83
Calypso Lake,-115.844,65.7256,12.98,380,12.4,11701,81.12
Campbell Lake,-106.894,63.2391,110.9,373,7.8,105646,85.73
Camsell Lake,-111.185,63.6228,158.16,411,12.6,153622,87.42
Carey,-102.909,62.2067,255.34,265,12.1,259064,91.24
Caribou Lake,-114.023,62.986,2.78,245,4.9,2077,67.27
Carter Lake,-104.303,62.9554,29.59,274,8.1,27590,83.91
Cassino Lake,-119.398,64.0755,22.44,325,4.4,23561,94.47
Castor Lake,-115.978,64.4679,35.74,284,28.6,34101,85.87
Chan 1 Lake,-114.355,62.6408,0.41,236,2.8,238,51.22
Chan Lake,-116.542,61.8909,0.84,239,6.5,701,75
Chartrand Lake,-115.532,64.4607,20.79,336,16.7,19626,84.94
Chedabucto Lake,-115.553,62.3691,43.01,193,5.7,44908,93.98
Chelay Lake,-119.403,65.2223,1.72,199,5.6,1393,72.67
Chipp Lake,-112.626,62.4685,2.9,270,2.1,2056,63.79
Chitty Lake,-114.123,62.7149,2.38,221,6.2,1822,68.91
Clinton Colden Lake,-107.474,63.9586,599.71,352,13.4,608092,91.23
Clive Lake,-118.906,63.212,64.84,255,3.6,66713,92.47
Coldblow Lake,-104.107,63.361,12.1,320,3.8,11726,87.19
Cole Lake,-116.594,63.6731,9.24,194,11.9,8010,77.92
Compton Lake,-109.79,62.5331,8.91,246,26.2,9010,91.02
Consolation Lake,-112.797,62.5081,20.01,238,14.8,15423,69.37
Contwoyto Lake,-110.506,65.3085,163.62,435,22.2,166125,91.38
Cook Lake,-108.849,63.1595,49.99,352,10.2,45458,81.84
Cooley Lake,-109.052,62.0574,9.33,336,10,8220,79.31
Cosmos Lake,-104.224,63.8148,2.14,150,8.9,2052,85.98
Cotterill Lake,-114.847,64.1539,17.93,334,10.9,16688,83.77
Courageous Lake,-111.188,64.1657,228.32,395,12.6,232082,91.48
Courier Lake,-111.946,63.5337,1.46,439,3.8,1092,67.12
Cowan Lake,-115.274,63.3612,4.44,218,9.7,3373,68.47
Crapaud Lake,-114.021,62.9358,5.87,225,5.3,4945,75.81
Credit Lake,-112.492,64.6574,17.7,429,3.2,16740,85.14
Creek Lake,-114.01,62.4733,0.88,0,0,774,79.55
Criss Lake,-113.514,63.0824,0.11,320,2.4,51,45.45
Croft Lake,-104.216,62.1037,15.74,337,6.4,14405,82.34
Crooked Foot Lake,-113.554,64.1502,9.02,374,8.2,8807,87.92
Cruikshank Lake,-105.357,63.5315,10.7,313,4.7,10138,85.23
Danes Lake,-111.706,63.2228,2.79,426,6.5,2398,77.42
DAoust Lake,-108.915,62.1353,11.25,333,10.9,11028,88
Daran Lake,-115.06,64.0299,20.75,257,37.7,19570,84.87
Darrell Lake,-105.65,63.7836,21.19,341,6.7,17950,76.26
Dauphinee Lake,-114.721,63.8824,9.95,288,13,9300,84.12
David lake,-114.378,62.5436,0.13,198,2.7,55,38.46
Davis Lake,-115.439,64.3984,1.33,335,10.8,1029,69.92
Day Lake,-113.504,62.6637,0.83,264,3.6,610,66.27
Defeat Lake,-113.643,62.3382,18.42,192,6.8,17144,83.77
Delmar Lake,-112.055,63.1382,8.65,406,8.1,7885,82.08
Denis Lake,-112.595,63.3542,7.34,387,9.2,6569,80.52
Desperation Lake,-112.401,62.5781,26.04,244,21.9,25205,87.1
Dessert Lake,-115.76,62.0993,7.68,202,4,7831,91.8
Devore Lake,-112.902,62.5951,0.94,270,4.5,738,70.21
Devreker Lake,-117.318,64.6627,13.12,235,24.8,12774,87.5
Dissension Lake,-113.499,63.983,4.97,336,5.3,4354,78.87
Dodds Lake,-113.424,63.1327,4.68,309,3.9,4020,77.35
Dome Lake,-113.255,62.7624,2.7,250,4.4,2166,72.22
Doodad Lake,-112.755,62.3539,0.27,257,2.1,133,44.44
Dorothy Lake,-112.534,62.4523,3.45,275,3,2744,71.59
Doyle Lake,-109.108,63.0974,13.79,352,13.4,12146,79.26
Drumlin Lake,-114.32,64.8287,36.46,437,5.4,34338,84.75
Drybones Lake,-112.405,63.5129,33.07,411,10.5,32593,88.69
Drygeese Lake,-114.166,62.734,3.74,217,7,3313,79.68
Drymeat Lake,-112.891,64.2536,7.92,379,6.7,7381,83.84
Duck Lake,-114.239,62.4336,5.38,155,6.6,4604,76.95
Duckfish Lake,-114.44,62.6736,5.79,228,5.3,4973,77.37
Dumas Lake,-116.301,66.4878,22.91,351,9.5,21601,84.85
Dumbell Lake,-111.083,64.0315,4.15,433,5.2,3571,77.35
Duncan Lake,-113.96,62.8705,68.2,214,21.4,70900,93.56
Egg Lake,-114.029,62.4897,0.91,192,3.7,638,62.64
Eileen Lake,-107.639,62.2437,135.71,369,9.6,128076,84.94
Elk River,-105.359,62.2166,59.41,337,4.4,49250,74.62
Ellington Lake,-117.32,65.0299,26.54,248,16.7,25216,85.49
Ernie Lake,-102.352,63.2671,20.99,252,12.2,21080,90.38
Etna Lake,-119.484,64.4488,45.73,356,3.3,46177,90.88
Eyeberry Lake,-104.696,63.1425,81.6,201,5.1,82207,90.67
Eyston Lake,-116.417,65.1823,23.89,298,27,22348,84.18
Faber Lake,-117.297,63.9325,383.34,203,22,402498,94.5
Face Lake,-110.126,62.3145,2.47,371,6.2,1750,63.56
Fairbairn Lake,-111.006,62.2618,14.6,169,12.8,14698,90.62
Fat Lake,-111.64,63.3964,12.85,412,7.5,11492,80.47
Faulkner Lake,-112.275,62.1985,2.37,204,9.6,1906,72.57
Fawn Lake,-117.529,62.1864,24.82,179,3.3,25619,92.91
Fenton Lake,-112.953,63.0183,16.2,277,23.1,15743,87.47
Fenwick Lake,-119.1,65.3622,3.14,205,11.1,2890,82.8
Fiddlers Lake,-114.509,62.468,0.28,192,2.2,196,64.29
Finger Lake,-114.357,62.5751,0.05,0,0,10,20
Fishhook Lake,-115.236,64.0626,8.4,262,19.2,7584,81.31
Fletcher Lake,-108.763,63.5923,164.24,388,11.6,164217,89.99
Forcier Lake,-116.351,66.0568,10.1,371,9.5,9373,83.56
Ford Lake,-107.409,63.1433,35.02,389,4,33188,85.29
Fortune Lake,-115.183,64.4511,0.36,353,4.4,232,58.33
Fox Lake,-114.417,62.483,0.52,199,2.7,359,61.54
